Position,StartDate,EndDate,DepartmentOrCompany,University,Location
Machine Learning Scientist,01/2022,,\Colorhref{https://www.glassdoor.com/index.htm}{Glassdoor},,
Faculty Research Specialist,06/2016,08/2017,Center for Advanced Study of Language,University of Maryland,"College Park, MD"
